SEE;MC
163.424115;4.225337
112.277136;5.289388
141.626880;6.850093
151.291826;7.531980
170.560994;6.042620
168.373774;7.361216
138.417849;8.207140
113.931600;5.101097
146.235429;6.902697
146.033735;5.291413
120.221830;4.485278
118.280170;6.995058
133.885670;6.535036
135.805786;4.889441
156.918244;7.435094
110.710320;7.292457
119.536078;7.424998
172.090492;4.401300
116.783617;7.960865
140.841329;3.739575
137.695256;3.681296
129.037230;5.576565
139.752171;3.833489
169.948542;4.322023
124.188286;7.462031
161.538841;4.834818
164.247068;6.396562
123.917804;6.471248
133.575711;5.552558
145.044774;4.719461
124.641584;7.488950
131.653023;7.848404
127.578796;3.747899
149.471687;4.831078
144.348226;4.720851
169.703961;6.739375
146.568655;8.535526
133.404676;5.219734
153.326370;6.454389
112.366272;8.207260
166.283889;6.696718
166.307345;7.836507
136.194509;5.577493
137.473676;7.039159
161.242403;4.957960
157.155321;6.883322
147.096142;6.047495
165.636756;8.630401
162.956658;3.381976
111.076688;6.869345
147.186273;4.393961
153.230599;7.654919
148.153768;4.205727
120.779588;5.822937
117.593417;5.752698
148.601956;6.707714
158.645961;8.395874
118.463513;4.732265
149.249042;4.062656
157.579782;7.734988
115.306233;8.597975
142.311203;8.490095
140.666704;5.713969
127.666763;5.789041
120.719860;3.674971
144.010361;5.152570
110.901693;6.255490
129.347400;5.274800
152.230113;4.664215
160.648148;3.615512
143.109519;5.122622
161.429320;5.830805
168.291186;7.552585
140.014029;3.737788
130.845201;5.919914
113.605025;5.469649
142.248665;4.113628
166.973973;7.369292
146.709190;4.545327
136.741902;5.376343
121.387595;7.150434
115.486532;5.804324
130.929252;5.094455
157.675547;8.376042
128.782143;3.996189
129.402576;4.582410
114.976798;6.702111
142.277191;4.985995
128.074699;6.633202
146.813090;3.915701
163.083478;7.770447
122.210308;5.690267
166.342779;6.794442
128.834066;7.471088
154.573611;3.546041
139.645361;6.995779
121.779405;4.512722
158.187896;8.366610
152.577925;8.477987
184.809567;7.739949
average;
141.317894;6.008625
