SEE;MC
151.194799;10.466950
136.921033;11.224161
104.847740;9.501996
132.744892;10.254956
136.774384;11.740374
140.755862;10.223373
124.001837;9.564005
115.136079;11.706978
123.866096;10.346512
106.888649;10.276432
144.530427;10.260074
140.466509;11.326395
134.686655;9.853066
151.034292;10.465374
140.750012;10.401908
159.808756;11.734035
116.267534;11.811937
158.543631;11.035408
160.656835;12.129411
111.040524;11.712324
152.418651;9.484457
111.965713;10.690183
145.113807;10.017281
115.656631;10.438076
161.483152;9.646099
134.048413;10.872027
137.996030;11.299896
108.150787;10.295476
109.700292;10.837272
126.438919;12.066332
137.257946;9.422025
137.455447;12.158824
120.053985;11.669231
113.364983;10.723116
156.629513;10.769479
139.890214;10.080538
137.201333;10.979749
112.446054;11.632231
133.756773;9.988012
159.099597;11.530294
128.558350;10.307592
133.986131;9.803857
106.341065;11.479956
126.417140;9.567856
137.546422;11.161952
129.732400;10.187430
114.323161;11.221582
130.069436;11.945320
158.921643;9.992273
140.340968;10.343749
133.381668;11.621478
133.251148;9.567800
117.688356;10.199335
154.439199;9.750631
141.378917;10.734373
162.926856;10.480550
124.108987;12.061563
157.915943;9.766384
148.777552;10.372398
142.892380;10.514744
127.905604;10.341032
105.612394;11.890908
113.548123;10.479603
157.533994;10.265407
129.695681;11.754584
162.474904;12.130343
148.888759;11.413387
122.744747;10.608637
145.899073;11.529193
123.013804;10.600859
125.046645;9.778857
125.182937;10.112046
108.558373;10.420908
143.488280;11.776576
137.970465;9.428875
134.956002;11.971568
134.084747;9.319198
157.423718;9.853572
157.330087;11.801278
143.876151;11.298239
113.246077;10.593666
114.670786;11.021904
111.393741;11.062984
137.219647;10.954353
127.880122;9.715102
128.848033;11.058046
150.141482;10.219612
159.031195;12.129933
137.533116;9.908354
118.634626;9.885346
156.982811;9.638109
110.441120;11.132091
132.936261;12.019549
163.404465;11.364148
108.491286;10.662174
148.273002;10.232008
132.459019;10.739913
123.909730;11.091245
131.275777;10.135115
157.094414;11.669089
average;
134.331437;10.737249
