SEE;MC
217.206072;0.0
159.228272;0.0
233.893881;0.0
148.977963;0.0
149.606780;0.0
198.007570;0.0
239.645384;0.0
181.137370;0.0
192.057745;0.0
179.550688;0.0
219.643808;0.0
237.381223;0.0
228.259610;0.0
215.117768;0.0
149.194468;0.0
203.532559;0.0
238.839346;0.0
185.616294;0.0
151.963437;0.0
141.514596;0.0
169.297578;0.0
156.275784;0.0
230.136096;0.0
238.555812;0.0
229.430083;0.0
150.454643;0.0
184.481516;0.0
179.906753;0.0
222.032189;0.0
231.210951;0.0
236.544061;0.0
204.994541;0.0
165.366441;0.0
221.722077;0.0
175.572550;0.0
215.663858;0.0
191.016688;0.0
214.618327;0.0
165.182061;0.0
170.323925;0.0
215.855427;0.0
149.244507;0.0
233.141652;0.0
173.573628;0.0
141.767789;0.0
201.425257;0.0
220.280868;0.0
152.993843;0.0
161.392831;0.0
151.522324;0.0
195.087211;0.0
205.966494;0.0
164.202687;0.0
154.138978;0.0
189.938743;0.0
231.433541;0.0
192.787471;0.0
171.108757;0.0
224.374555;0.0
212.188984;0.0
233.282680;0.0
156.863496;0.0
166.003172;0.0
234.569673;0.0
191.362442;0.0
183.020177;0.0
157.915262;0.0
205.032117;0.0
171.511218;0.0
232.744277;0.0
181.180244;0.0
181.775864;0.0
152.839929;0.0
160.354008;0.0
210.508288;0.0
159.214427;0.0
157.978160;0.0
176.513361;0.0
153.314959;0.0
158.263562;0.0
220.446489;0.0
160.515330;0.0
164.313081;0.0
230.650450;0.0
151.077178;0.0
161.525083;0.0
236.374727;0.0
165.731924;0.0
224.483594;0.0
194.249118;0.0
204.800231;0.0
142.031832;0.0
197.653586;0.0
143.073702;0.0
169.432836;0.0
214.988500;0.0
205.713537;0.0
192.434738;0.0
237.495223;0.0
229.983206;0.0
average
190.368080;0.0
