SEE;MC
205.811421;0.0
177.487475;0.0
229.834402;0.0
172.526699;0.0
159.070229;0.0
216.347076;0.0
248.305090;0.0
235.962362;0.0
160.667869;0.0
247.245706;0.0
194.660176;0.0
154.916680;0.0
158.991618;0.0
168.702728;0.0
184.145686;0.0
165.334518;0.0
220.251740;0.0
227.104564;0.0
190.265824;0.0
199.419376;0.0
180.585263;0.0
215.798053;0.0
191.858097;0.0
200.102630;0.0
216.871169;0.0
184.631168;0.0
152.015558;0.0
164.711216;0.0
209.835659;0.0
175.247767;0.0
236.810179;0.0
177.501001;0.0
186.785584;0.0
196.788885;0.0
186.870872;0.0
227.397026;0.0
246.224829;0.0
204.450791;0.0
243.194116;0.0
208.189630;0.0
184.909380;0.0
180.198523;0.0
231.600309;0.0
211.644249;0.0
230.777615;0.0
197.154001;0.0
205.329597;0.0
246.769663;0.0
171.890937;0.0
197.914402;0.0
243.438573;0.0
178.868374;0.0
241.249416;0.0
151.649348;0.0
248.684066;0.0
224.072251;0.0
178.206960;0.0
183.665417;0.0
228.243342;0.0
247.847521;0.0
204.124580;0.0
210.394142;0.0
245.769495;0.0
211.318338;0.0
214.309277;0.0
189.642028;0.0
200.926430;0.0
163.556415;0.0
244.210489;0.0
159.493285;0.0
231.456504;0.0
210.945179;0.0
245.784604;0.0
165.793135;0.0
152.667705;0.0
220.975200;0.0
224.136299;0.0
167.489053;0.0
203.789871;0.0
193.855023;0.0
158.177302;0.0
192.462221;0.0
236.807072;0.0
225.635504;0.0
160.101983;0.0
161.051687;0.0
204.685176;0.0
216.378699;0.0
175.376536;0.0
233.224415;0.0
250.323423;0.0
217.414446;0.0
205.941004;0.0
240.873449;0.0
193.537402;0.0
222.238248;0.0
170.700793;0.0
163.953488;0.0
220.758707;0.0
213.598113;0.0
average
202.309114;0.0
